id,filename,customer,doc_code,doc_name,revision_date,doc_type,review_summary,processed_at
35,Audi_LAH 893 010 - Q Lastenheft der AUDI AG - Anlage 1 Formel Q Neuteile Integral.pdf,Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 1 Formel Q Neuteile Integral,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:18.615897
40,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 3_Qualitätsnachweis für die Vorserienphase.doc,Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 3 Qualitätsnachweis für die Vorserienphase,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:24.297530
49,Audi_LAH 893 010 - The AUDI AG Quality Manual Status 8_2006.pdf,Audi,LAH 893 010,Audi LAH 893 010 The AUDI AG Quality Manual Status 8 2006,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:34.972068
58,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 4 Richtlinie für die Ermittlung von Maschinen- und Prozeßfähigkeit_1999.pdf,Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 4 Richtlinie für die Ermittlung von Maschinen und Prozeßfähigkeit 1999,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:39.822841
92,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 10 Anforderungen an die Fertigungs- und Prüftechnik_2006.xls,Audi,LAH 893 010,Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 10 Anforderungen an die Fertigungs- und Prüftechnik_2006.xls (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:50.398159
116,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 5 VDA-Deckblatt Erstbemusterung_2004.xls,Audi,LAH 893 010,Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 5 VDA-Deckblatt Erstbemusterung_2004.xls (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:01.072744
117,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 7 Qualitätsleistungskosten 0km_2005.pdf,Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 7 Qualitätsleistungskosten 0km 2005,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:01.111891
127,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Q-Lastenheft der AUDI AG_2013.pdf,Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Q Lastenheft der AUDI AG 2013,N/A,품질 관리 사양 (Quality Assurance Standard),"이 문서는 완성차 제조사 Audi의 LAH 893 010 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 품질 관리 사양로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:07.076848
108,Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 2_Teilelebenslauf.xls,Audi,LAH 893 010 (Anlage 2),Q-Lastenheft der AUDI AG - Anlage 2_Teilelebenslauf (부품이력서 양식 및 이력 추적 요구 조건),2001-04-23,품질 관리 사양 (Quality Assurance Standard),"아우디(Audi AG)의 품질 규격서 LAH 893 010의 '부품 이력(Teilelebenslauf)' 서식 및 이력 관리 규정입니다. 이 문서는 완성차에 적용되는 부품의 라이프 사이클 동안 발생하는 개발 변경, 설계 수정, 승인 이정표(Milestones), 초도품 샘플 검사(Bemusterung), 도면 개정 등을 날짜순으로 정밀 기록하도록 규정하고 있습니다. 협력사는 도면 변경 인덱스(G-Stand)와 품질 동합 승인 내역을 정확히 관리하여 단일 부품의 추적성(Traceability)을 완벽히 확보해야 합니다.",2026-05-27T17:16:00.040174
29,BMW_QMT Entwurf_Prozess-Lastenheft_Reifen_V7_20241119.pdf,BMW,BMW QMT Reifen V7,BMW QMT Entwurf Prozess Lastenheft Reifen V7 20241119,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 BMW QMT Reifen V7 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:14.033346
139,BMW_GS 90003-1 TIGHTENING TORQUES AND CLAMPING FORCES FOR SCREWS  .pdf,BMW,GS 90003-1,BMW Group Standard GS 90003- -1 (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 90003-1 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:18.653878
87,BMW_GS 90010-1 TYPES OF SURFACE PROTECTION FOR METALLIC MATERIALS .pdf,BMW,GS 90010-1,Types of Surface Protection for Metallic Materials (금속 재료용 표면 보호 및 도금 사양),2020-11-01,재료 엔지니어링 규격 (Engineering Material Standard),"BMW 그룹의 대표적인 금속 표면 처리 및 부식 방지 규격서입니다. 금속 소재 부품(볼트, 너트 등의 패스너류 및 기계 부품)의 표면 보호 코드 체계, 아연 피막, 아연-니켈 전기도금, 도장 등 보호 피막별 두께, 마찰 계수 조정 범위 및 염수분무시험(Salt Spray Test) 기준 시간을 상세히 규정하고 있습니다. 화장 부식(White rust) 및 적청(Red rust) 발생을 방지하여 완성차 내구 신뢰성을 높이기 위한 설계 표준입니다.",2026-05-27T17:15:48.733848
20,BMW_GS 90010-2 TYPES OF SURFACE PROTECTION FOR METALLIC MATERIALS.pdf,BMW,GS 90010-2,GS 90010-2:2021-03 (자동 추출),2021-03,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 90010-2 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:09.341832
115,BMW_GS 90017 CONTINUOUS ASSURANCE OF PRODUCT RELIABILITY IN THE .pdf,BMW,GS 90017,GS 90017:2019-09 (자동 추출),2019-09,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 90017 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:00.523233
59,BMW_GS 90018-1 REQUALIFICATION OF PRODUCT AND PROCESS AT SUPPLIER .pdf,BMW,GS 90018-1,Requalification of Product and Process at Supplier (공급업체의 제품 및 공정 정기 재자격 심사/재평가),2022-04,공급사 품질 보증 사양 (Supplier Quality Standard),"BMW 그룹 표준 GS 90018-1은 대량 생산 중인 부품 및 제조 공정이 개발 당시의 승인 조건(PPAP) 및 품질 사양을 지속적으로 준수하고 있는지 공급사가 정기적으로 자체 검증(Requalification, 재자격 평가)하도록 의무화하는 규격입니다. 일반적으로 매년 최소 1회 수행해야 하며 치수 검사, 재질 분석, 기능/내구 시험 및 제조 공정 매개변수 점검을 포함합니다. 이를 통해 양산 안정성과 양산 변화에 따른 리스크를 예방합니다.",2026-05-27T17:15:39.971010
80,BMW_GS 90018-2 REQUALIFICATION OF PRODUCT AND PROCESS AT SUPPLIER .pdf,BMW,GS 90018-2,GS 90018-2: 2022- 04 (자동 추출),2006-02,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 90018-2 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:46.716921
95,BMW_GS 91001 MARKING OF PARTS; WITH TRADEMARK AND PART IDENTIFI .pdf,BMW,GS 91001,GS 91001:2020-06 (자동 추출),2020-06,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 91001 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:50.589660
30,BMW_GS 91002 MARKING OF PARTS; TRADEMARK FOR MARKING OF PARTS .pdf,BMW,GS 91002,GS 91002:2021- 11 (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 91002 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:14.544552
91,BMW_GS 91003 MARKING OF PARTS; MARKING OF MATERIALS.pdf,BMW,GS 91003,GS 91003:2020-08 (자동 추출),2020-08,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 91003 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:50.233567
101,BMW_GS 91010-2 MARKING OF PARTS; MARKING WITH DATA MATRIX CODE OR .pdf,BMW,GS 91010-2,GS 91010-2: 2021- 12 (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 91010-2 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:53.058150
163,BMW_GS 91011 SPECIAL CHARACTERISTICS AND L MARKING IDENTIFICAT .pdf,BMW,GS 91011,GS 91011:2021-05 (자동 추출),2021-05,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 91011 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:27.828900
111,BMW_GS 93008-1 SUBSTANCES OF CONCERN; MATERIALS AND COMPONENTS; P .pdf,BMW,GS 93008-1,GS 93008-1:2020-10 (자동 추출),2020-10,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 93008-1 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:00.296394
64,BMW_GS 93008-2 SUBSTANCES OF CONCERN; PROCESS MATERIALS AND AUXIL .pdf,BMW,GS 93008-2,BMW Group Standard Released GS 93008- 2 (자동 추출),2021-05,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 93008-2 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:40.755424
96,BMW_GS 93016 PLASTICS; THERMOPLASTICS; SELECTION LIST .pdf,BMW,GS 93016,BMW Group Standard Released GS 93016 (자동 추출),2021-08,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 93016 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:50.955872
157,BMW_GS 95004 FAILURE ANALYSIS; PART ANALYSIS OF FIELD COMPLAINT .pdf,BMW,GS 95004,BMW Group Standard  GS 95004 (자동 추출),2018-07,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 95004 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:24.297847
119,BMW_GS 98000 STATISTICAL CAPABILITY STUDIES .pdf,BMW,GS 98000,BMW Group Standard  GS 98000 (자동 추출),2018-05,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 98000 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:01.255723
28,BMW_GS 98003 FMEA FAILURE MODES AND EFFECTS ANALYSIS .pdf,BMW,GS 98003,GS 98003:2023- 08 (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 GS 98003 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:13.303207
52,BMW_PR 11737867 TYRE .pdf,BMW,PR 11737867,Requirements Specification (자동 추출),2011-04,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 PR 11737867 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:36.778625
27,BMW_QV 11738891 TYRES (COOPERATION PROJECT) .pdf,BMW,QV 11738891,BMW QV 11738891 TYRES (COOPERATION PROJECT),2022-08-22,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 QV 11738891 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:12.292408
45,BMW_QV 11738892_000_04 Reifen.pdf,BMW,QV 11738892,BMW QV 11738892 000 04 Reifen,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 BMW의 QV 11738892 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:25.099511
11,Daihatsu_DQR-E101-01.pdf,Daihatsu,DQR-E101-01,Daihatsu DQR E101 01,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DQR-E101-01 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:07.015452
60,Daihatsu_DQR-E202-02.pdf,Daihatsu,DQR-E202-02,Daihatsu DQR E202 02,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DQR-E202-02 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:39.991948
140,Daihatsu_DTRA1230_자동차 기술 표준.pdf,Daihatsu,DTRA1230,Daihatsu DTRA1230 자동차 기술 표준,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DTRA1230 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:18.830903
152,Daihatsu_DTRD2020 Rev.4.pdf,Daihatsu,DTRD2020,Daihatsu DTRD2020 Rev.4,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DTRD2020 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:22.872329
137,Daihatsu_DTRD2090 Rev.4.pdf,Daihatsu,DTRD2090,Daihatsu DTRD2090 Rev.4,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DTRD2090 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:18.516444
42,Daihatsu_DTRD2100 Rev.2.pdf,Daihatsu,DTRD2100,Daihatsu DTRD2100 Rev.2,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DTRD2100 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:24.394891
158,Daihatsu_DTSZ0001G Rev.18.pdf,Daihatsu,DTSZ0001G,Daihatsu DTSZ0001G Rev.18,N/A,기타 사양서 (General Specification),"이 문서는 완성차 제조사 Daihatsu의 DTSZ0001G 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 일반 기술 표준로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:26.645993
128,Ford-IATF-CSR_June-2025-Release-FINAL.pdf,Ford,Ford IATF-CSR,Ford IATF CSR June 2025 Release FINAL,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Ford의 Ford IATF-CSR 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:07.833960
15,Ford-Specifics-for-PPAP_Jan-2025-FINAL.pdf,Ford,Ford PPAP Specifics,Ford Specifics for PPAP Jan 2025 FINAL,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Ford의 Ford PPAP Specifics 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:07.821315
129,Ford_SCCAF Handbook - Ver 4.0 Mar 2023.pdf,Ford,Ford SCCAF Handbook,Ford SCCAF Handbook Ver 4.0 Mar 2023,N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Ford의 Ford SCCAF Handbook 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:16:08.878647
38,Ford_Tire FS Version 5_Final_Hankook.pdf,Ford,Ford Tire FS V5,Functional Specification – Tire Casing (자동 추출),N/A,부품 시험 절차서 (Test Procedure),"이 문서는 완성차 제조사 Ford의 Ford Tire FS V5 관련 기술 표준서입니다. 자동 파싱 결과 문서의 주요 구성 및 용도는 부품 시험 절차서로 감지되었습니다. 시스템은 이 규격을 바탕으로 치수 준수 여부, 주기적인 제조 신뢰성 확보, 및 협력사 관리 가이드라인의 핵심 조항들을 자동으로 식별하여 추적하고 있습니다.",2026-05-27T17:15:19.568574
